,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck
70,0,2,1,32.0,0,0,10.5,2,2
71,0,3,0,16.0,5,2,46.9,2,2
72,0,2,1,21.0,0,0,73.5,2,2
73,0,3,1,26.0,1,0,14.4542,0,2
74,1,3,1,32.0,0,0,56.4958,2,2
75,0,3,1,25.0,0,0,7.65,2,5
76,0,3,1,29.69911764705882,0,0,7.8958,2,2
77,0,3,1,29.69911764705882,0,0,8.05,2,2
78,1,2,1,0.83,0,2,29.0,2,2
79,1,3,0,30.0,0,0,12.475,2,2
80,0,3,1,22.0,0,0,9.0,2,2
81,1,3,1,29.0,0,0,9.5,2,2
82,1,3,0,29.69911764705882,0,0,7.7875,1,2
83,0,1,1,28.0,0,0,47.1,2,2
84,1,2,0,17.0,0,0,10.5,2,2
85,1,3,0,33.0,3,0,15.85,2,2
86,0,3,1,16.0,1,3,34.375,2,2
87,0,3,1,29.69911764705882,0,0,8.05,2,2
88,1,1,0,23.0,3,2,263.0,2,2
89,0,3,1,24.0,0,0,8.05,2,2
90,0,3,1,29.0,0,0,8.05,2,2
91,0,3,1,20.0,0,0,7.8542,2,2
92,0,1,1,46.0,1,0,61.175,2,4
93,0,3,1,26.0,1,2,20.575,2,2
94,0,3,1,59.0,0,0,7.25,2,2
95,0,3,1,29.69911764705882,0,0,8.05,2,2
96,0,1,1,71.0,0,0,34.6542,0,0
97,1,1,1,23.0,0,1,63.3583,0,3
98,1,2,0,34.0,0,1,23.0,2,2
99,0,2,1,34.0,1,0,26.0,2,2
100,0,3,0,28.0,0,0,7.8958,2,2
101,0,3,1,29.69911764705882,0,0,7.8958,2,2
102,0,1,1,21.0,0,1,77.2875,2,3
103,0,3,1,33.0,0,0,8.6542,2,2
104,0,3,1,37.0,2,0,7.925,2,2
105,0,3,1,28.0,0,0,7.8958,2,2
106,1,3,0,21.0,0,0,7.65,2,2
107,1,3,1,29.69911764705882,0,0,7.775,2,2
108,0,3,1,38.0,0,0,7.8958,2,2
109,1,3,0,29.69911764705882,1,0,24.15,1,2
110,0,1,1,47.0,0,0,52.0,2,2
111,0,3,0,14.5,1,0,14.4542,0,2
112,0,3,1,22.0,0,0,8.05,2,2
113,0,3,0,20.0,1,0,9.825,2,2
114,0,3,0,17.0,0,0,14.4583,0,2
115,0,3,1,21.0,0,0,7.925,2,2
116,0,3,1,70.5,0,0,7.75,1,2
117,0,2,1,29.0,1,0,21.0,2,2
118,0,1,1,24.0,0,1,247.5208,0,1
119,0,3,0,2.0,4,2,31.275,2,2
120,0,2,1,21.0,2,0,73.5,2,2
121,0,3,1,29.69911764705882,0,0,8.05,2,2
122,0,2,1,32.5,1,0,30.0708,0,2
123,1,2,0,32.5,0,0,13.0,2,4
124,0,1,1,54.0,0,1,77.2875,2,3
125,1,3,1,12.0,1,0,11.2417,0,2
126,0,3,1,29.69911764705882,0,0,7.75,1,2
127,1,3,1,24.0,0,0,7.1417,2,2
128,1,3,0,29.69911764705882,1,1,22.3583,0,5
129,0,3,1,45.0,0,0,6.975,2,2
130,0,3,1,33.0,0,0,7.8958,0,2
131,0,3,1,20.0,0,0,7.05,2,2
132,0,3,0,47.0,1,0,14.5,2,2
133,1,2,0,29.0,1,0,26.0,2,2
134,0,2,1,25.0,0,0,13.0,2,2
135,0,2,1,23.0,0,0,15.0458,0,2
136,1,1,0,19.0,0,2,26.2833,2,3
137,0,1,1,37.0,1,0,53.1,2,2
138,0,3,1,16.0,0,0,9.2167,2,2
139,0,1,1,24.0,0,0,79.2,0,1
140,0,3,0,29.69911764705882,0,2,15.2458,0,2
141,1,3,0,22.0,0,0,7.75,2,2
142,1,3,0,24.0,1,0,15.85,2,2
143,0,3,1,19.0,0,0,6.75,1,2
144,0,2,1,18.0,0,0,11.5,2,2
145,0,2,1,19.0,1,1,36.75,2,2
146,1,3,1,27.0,0,0,7.7958,2,2
147,0,3,0,9.0,2,2,34.375,2,2
148,0,2,1,36.5,0,2,26.0,2,5
149,0,2,1,42.0,0,0,13.0,2,2
150,0,2,1,51.0,0,0,12.525,2,2
151,1,1,0,22.0,1,0,66.6,2,2
152,0,3,1,55.5,0,0,8.05,2,2
153,0,3,1,40.5,0,2,14.5,2,2
154,0,3,1,29.69911764705882,0,0,7.3125,2,2
155,0,1,1,51.0,0,1,61.3792,0,2
156,1,3,0,16.0,0,0,7.7333,1,2
157,0,3,1,30.0,0,0,8.05,2,2
158,0,3,1,29.69911764705882,0,0,8.6625,2,2
159,0,3,1,29.69911764705882,8,2,69.55,2,2
160,0,3,1,44.0,0,1,16.1,2,2
161,1,2,0,40.0,0,0,15.75,2,2
162,0,3,1,26.0,0,0,7.775,2,2
163,0,3,1,17.0,0,0,8.6625,2,2
164,0,3,1,1.0,4,1,39.6875,2,2
165,1,3,1,9.0,0,2,20.525,2,2
166,1,1,0,29.69911764705882,0,1,55.0,2,4
167,0,3,0,45.0,1,4,27.9,2,2
168,0,1,1,29.69911764705882,0,0,25.925,2,2
169,0,3,1,28.0,0,0,56.4958,2,2
170,0,1,1,61.0,0,0,33.5,2,1
171,0,3,1,4.0,4,1,29.125,1,2
172,1,3,0,1.0,1,1,11.1333,2,2
173,0,3,1,21.0,0,0,7.925,2,2
174,0,1,1,56.0,0,0,30.6958,0,0
175,0,3,1,18.0,1,1,7.8542,2,2
176,0,3,1,29.69911764705882,3,1,25.4667,2,2
177,0,1,0,50.0,0,0,28.7125,0,2
178,0,2,1,30.0,0,0,13.0,2,2
179,0,3,1,36.0,0,0,0.0,2,2
180,0,3,0,29.69911764705882,8,2,69.55,2,2
181,0,2,1,29.69911764705882,0,0,15.05,0,2
182,0,3,1,9.0,4,2,31.3875,2,2
183,1,2,1,1.0,2,1,39.0,2,5
184,1,3,0,4.0,0,2,22.025,2,2
185,0,1,1,29.69911764705882,0,0,50.0,2,0
186,1,3,0,29.69911764705882,1,0,15.5,1,2
187,1,1,1,45.0,0,0,26.55,2,2
188,0,3,1,40.0,1,1,15.5,1,2
189,0,3,1,36.0,0,0,7.8958,2,2
190,1,2,0,32.0,0,0,13.0,2,2
191,0,2,1,19.0,0,0,13.0,2,2
192,1,3,0,19.0,1,0,7.8542,2,2
193,1,2,1,3.0,1,1,26.0,2,5
194,1,1,0,44.0,0,0,27.7208,0,1
195,1,1,0,58.0,0,0,146.5208,0,1
196,0,3,1,29.69911764705882,0,0,7.75,1,2
197,0,3,1,42.0,0,1,8.4042,2,2
198,1,3,0,29.69911764705882,0,0,7.75,1,2
199,0,2,0,24.0,0,0,13.0,2,2
200,0,3,1,28.0,0,0,9.5,2,2
201,0,3,1,29.69911764705882,8,2,69.55,2,2
202,0,3,1,34.0,0,0,6.4958,2,2
203,0,3,1,45.5,0,0,7.225,0,2
204,1,3,1,18.0,0,0,8.05,2,2
205,0,3,0,2.0,0,1,10.4625,2,6
206,0,3,1,32.0,1,0,15.85,2,2
207,1,3,1,26.0,0,0,18.7875,0,2
208,1,3,0,16.0,0,0,7.75,1,2
209,1,1,1,40.0,0,0,31.0,0,0
210,0,3,1,24.0,0,0,7.05,2,2
211,1,2,0,35.0,0,0,21.0,2,2
212,0,3,1,22.0,0,0,7.25,2,2
213,0,2,1,30.0,0,0,13.0,2,2
214,0,3,1,29.69911764705882,1,0,7.75,1,2
215,1,1,0,31.0,1,0,113.275,0,3
216,1,3,0,27.0,0,0,7.925,2,2
217,0,2,1,42.0,1,0,27.0,2,2
218,1,1,0,32.0,0,0,76.2917,0,3
219,0,2,1,30.0,0,0,10.5,2,2
220,1,3,1,16.0,0,0,8.05,2,2
221,0,2,1,27.0,0,0,13.0,2,2
222,0,3,1,51.0,0,0,8.05,2,2
223,0,3,1,29.69911764705882,0,0,7.8958,2,2
224,1,1,1,38.0,1,0,90.0,2,2
225,0,3,1,22.0,0,0,9.35,2,2
226,1,2,1,19.0,0,0,10.5,2,2
227,0,3,1,20.5,0,0,7.25,2,2
228,0,2,1,18.0,0,0,13.0,2,2
229,0,3,0,29.69911764705882,3,1,25.4667,2,2
230,1,1,0,35.0,1,0,83.475,2,2
231,0,3,1,29.0,0,0,7.775,2,2
232,0,2,1,59.0,0,0,13.5,2,2
233,1,3,0,5.0,4,2,31.3875,2,2
234,0,2,1,24.0,0,0,10.5,2,2
235,0,3,0,29.69911764705882,0,0,7.55,2,2
236,0,2,1,44.0,1,0,26.0,2,2
237,1,2,0,8.0,0,2,26.25,2,2
238,0,2,1,19.0,0,0,10.5,2,2
239,0,2,1,33.0,0,0,12.275,2,2
240,0,3,0,29.69911764705882,1,0,14.4542,0,2
241,1,3,0,29.69911764705882,1,0,15.5,1,2
242,0,2,1,29.0,0,0,10.5,2,2
243,0,3,1,22.0,0,0,7.125,2,2
244,0,3,1,30.0,0,0,7.225,0,2
245,0,1,1,44.0,2,0,90.0,1,2
246,0,3,0,25.0,0,0,7.775,2,2
247,1,2,0,24.0,0,2,14.5,2,2
248,1,1,1,37.0,1,1,52.5542,2,3
249,0,2,1,54.0,1,0,26.0,2,2
250,0,3,1,29.69911764705882,0,0,7.25,2,2
251,0,3,0,29.0,1,1,10.4625,2,6
252,0,1,1,62.0,0,0,26.55,2,2
253,0,3,1,30.0,1,0,16.1,2,2
254,0,3,0,41.0,0,2,20.2125,2,2
255,1,3,0,29.0,0,2,15.2458,0,2
256,1,1,0,29.69911764705882,0,0,79.2,0,2
257,1,1,0,30.0,0,0,86.5,2,1
258,1,1,0,35.0,0,0,512.3292,0,2
259,1,2,0,50.0,0,1,26.0,2,2
260,0,3,1,29.69911764705882,0,0,7.75,1,2
261,1,3,1,3.0,4,2,31.3875,2,2
262,0,1,1,52.0,1,1,79.65,2,4
263,0,1,1,40.0,0,0,0.0,2,1
264,0,3,0,29.69911764705882,0,0,7.75,1,2
265,0,2,1,36.0,0,0,10.5,2,2
266,0,3,1,16.0,4,1,39.6875,2,2
267,1,3,1,25.0,1,0,7.775,2,2
268,1,1,0,58.0,0,1,153.4625,2,2
269,1,1,0,35.0,0,0,135.6333,2,2
270,0,1,1,29.69911764705882,0,0,31.0,2,2
271,1,3,1,25.0,0,0,0.0,2,2
272,1,2,0,41.0,0,1,19.5,2,2
273,0,1,1,37.0,0,1,29.7,0,2
274,1,3,0,29.69911764705882,0,0,7.75,1,2
275,1,1,0,63.0,1,0,77.9583,2,3
276,0,3,0,45.0,0,0,7.75,2,2
277,0,2,1,29.69911764705882,0,0,0.0,2,2
278,0,3,1,7.0,4,1,29.125,1,2
279,1,3,0,35.0,1,1,20.25,2,2
280,0,3,1,65.0,0,0,7.75,1,2
281,0,3,1,28.0,0,0,7.8542,2,2
282,0,3,1,16.0,0,0,9.5,2,2
283,1,3,1,19.0,0,0,8.05,2,2
284,0,1,1,29.69911764705882,0,0,26.0,2,0
285,0,3,1,33.0,0,0,8.6625,0,2
286,1,3,1,30.0,0,0,9.5,2,2
287,0,3,1,22.0,0,0,7.8958,2,2
288,1,2,1,42.0,0,0,13.0,2,2
289,1,3,0,22.0,0,0,7.75,1,2
290,1,1,0,26.0,0,0,78.85,2,2
291,1,1,0,19.0,1,0,91.0792,0,1
292,0,2,1,36.0,0,0,12.875,0,3
293,0,3,0,24.0,0,0,8.85,2,2
294,0,3,1,24.0,0,0,7.8958,2,2
295,0,1,1,29.69911764705882,0,0,27.7208,0,2
296,0,3,1,23.5,0,0,7.2292,0,2
297,0,1,0,2.0,1,2,151.55,2,2
298,1,1,1,29.69911764705882,0,0,30.5,2,2
299,1,1,0,50.0,0,1,247.5208,0,1
300,1,3,0,29.69911764705882,0,0,7.75,1,2
301,1,3,1,29.69911764705882,2,0,23.25,1,2
302,0,3,1,19.0,0,0,0.0,2,2
303,1,2,0,29.69911764705882,0,0,12.35,1,4
304,0,3,1,29.69911764705882,0,0,8.05,2,2
305,1,1,1,0.92,1,2,151.55,2,2
306,1,1,0,29.69911764705882,0,0,110.8833,0,2
307,1,1,0,17.0,1,0,108.9,0,2
308,0,2,1,30.0,1,0,24.0,0,2
309,1,1,0,30.0,0,0,56.9292,0,4
310,1,1,0,24.0,0,0,83.1583,0,2
311,1,1,0,18.0,2,2,262.375,0,1
312,0,2,0,26.0,1,1,26.0,2,2
313,0,3,1,28.0,0,0,7.8958,2,2
314,0,2,1,43.0,1,1,26.25,2,2
315,1,3,0,26.0,0,0,7.8542,2,2
316,1,2,0,24.0,1,0,26.0,2,2
317,0,2,1,54.0,0,0,14.0,2,2
318,1,1,0,31.0,0,2,164.8667,2,2
319,1,1,0,40.0,1,1,134.5,0,4
320,0,3,1,22.0,0,0,7.25,2,2
321,0,3,1,27.0,0,0,7.8958,2,2
322,1,2,0,30.0,0,0,12.35,1,2
323,1,2,0,22.0,1,1,29.0,2,2
324,0,3,1,29.69911764705882,8,2,69.55,2,2
325,1,1,0,36.0,0,0,135.6333,0,2
326,0,3,1,61.0,0,0,6.2375,2,2
327,1,2,0,36.0,0,0,13.0,2,3
328,1,3,0,31.0,1,1,20.525,2,2
329,1,1,0,16.0,0,1,57.9792,0,1
330,1,3,0,29.69911764705882,2,0,23.25,1,2
331,0,1,1,45.5,0,0,28.5,2,2
332,0,1,1,38.0,0,1,153.4625,2,2
333,0,3,1,16.0,2,0,18.0,2,2
334,1,1,0,29.69911764705882,1,0,133.65,2,2
335,0,3,1,29.69911764705882,0,0,7.8958,2,2
336,0,1,1,29.0,1,0,66.6,2,2
337,1,1,0,41.0,0,0,134.5,0,4
338,1,3,1,45.0,0,0,8.05,2,2
339,0,1,1,45.0,0,0,35.5,2,7
340,1,2,1,2.0,1,1,26.0,2,5
341,1,1,0,24.0,3,2,263.0,2,2
342,0,2,1,28.0,0,0,13.0,2,2
343,0,2,1,25.0,0,0,13.0,2,2
344,0,2,1,36.0,0,0,13.0,2,2
345,1,2,0,24.0,0,0,13.0,2,5
346,1,2,0,40.0,0,0,13.0,2,2
347,1,3,0,29.69911764705882,1,0,16.1,2,2
348,1,3,1,3.0,1,1,15.9,2,2
349,0,3,1,42.0,0,0,8.6625,2,2
350,0,3,1,23.0,0,0,9.225,2,2
351,0,1,1,29.69911764705882,0,0,35.0,2,2
352,0,3,1,15.0,1,1,7.2292,0,2
353,0,3,1,25.0,1,0,17.8,2,2
354,0,3,1,29.69911764705882,0,0,7.225,0,2
355,0,3,1,28.0,0,0,9.5,2,2
356,1,1,0,22.0,0,1,55.0,2,4
357,0,2,0,38.0,0,0,13.0,2,2
358,1,3,0,29.69911764705882,0,0,7.8792,1,2
359,1,3,0,29.69911764705882,0,0,7.8792,1,2
360,0,3,1,40.0,1,4,27.9,2,2
361,0,2,1,29.0,1,0,27.7208,0,2
362,0,3,0,45.0,0,1,14.4542,0,2
363,0,3,1,35.0,0,0,7.05,2,2
364,0,3,1,29.69911764705882,1,0,15.5,1,2
365,0,3,1,30.0,0,0,7.25,2,2
366,1,1,0,60.0,1,0,75.25,0,3
367,1,3,0,29.69911764705882,0,0,7.2292,0,2
368,1,3,0,29.69911764705882,0,0,7.75,1,2
369,1,1,0,24.0,0,0,69.3,0,1
370,1,1,1,25.0,1,0,55.4417,0,4
371,0,3,1,18.0,1,0,6.4958,2,2
372,0,3,1,19.0,0,0,8.05,2,2
373,0,1,1,22.0,0,0,135.6333,0,2
374,0,3,0,3.0,3,1,21.075,2,2
375,1,1,0,29.69911764705882,1,0,82.1708,0,2
376,1,3,0,22.0,0,0,7.25,2,2
377,0,1,1,27.0,0,2,211.5,0,2
378,0,3,1,20.0,0,0,4.0125,0,2
379,0,3,1,19.0,0,0,7.775,2,2
380,1,1,0,42.0,0,0,227.525,0,2
381,1,3,0,1.0,0,2,15.7417,0,2
382,0,3,1,32.0,0,0,7.925,2,2
383,1,1,0,35.0,1,0,52.0,2,2
384,0,3,1,29.69911764705882,0,0,7.8958,2,2
385,0,2,1,18.0,0,0,73.5,2,2
386,0,3,1,1.0,5,2,46.9,2,2
387,1,2,0,36.0,0,0,13.0,2,2
388,0,3,1,29.69911764705882,0,0,7.7292,1,2
389,1,2,0,17.0,0,0,12.0,0,2
390,1,1,1,36.0,1,2,120.0,2,1
391,1,3,1,21.0,0,0,7.7958,2,2
392,0,3,1,28.0,2,0,7.925,2,2
393,1,1,0,23.0,1,0,113.275,0,3
394,1,3,0,24.0,0,2,16.7,2,6
395,0,3,1,22.0,0,0,7.7958,2,2
396,0,3,0,31.0,0,0,7.8542,2,2
397,0,2,1,46.0,0,0,26.0,2,2
398,0,2,1,23.0,0,0,10.5,2,2
399,1,2,0,28.0,0,0,12.65,2,2
400,1,3,1,39.0,0,0,7.925,2,2
401,0,3,1,26.0,0,0,8.05,2,2
402,0,3,0,21.0,1,0,9.825,2,2
403,0,3,1,28.0,1,0,15.85,2,2
404,0,3,0,20.0,0,0,8.6625,2,2
405,0,2,1,34.0,1,0,21.0,2,2
406,0,3,1,51.0,0,0,7.75,2,2
407,1,2,1,3.0,1,1,18.75,2,2
408,0,3,1,21.0,0,0,7.775,2,2
409,0,3,0,29.69911764705882,3,1,25.4667,2,2
410,0,3,1,29.69911764705882,0,0,7.8958,2,2
411,0,3,1,29.69911764705882,0,0,6.8583,1,2
412,1,1,0,33.0,1,0,90.0,1,2
413,0,2,1,29.69911764705882,0,0,0.0,2,2
414,1,3,1,44.0,0,0,7.925,2,2
415,0,3,0,29.69911764705882,0,0,8.05,2,2
416,1,2,0,34.0,1,1,32.5,2,2
417,1,2,0,18.0,0,2,13.0,2,2
418,0,2,1,30.0,0,0,13.0,2,2
419,0,3,0,10.0,0,2,24.15,2,2
420,0,3,1,29.69911764705882,0,0,7.8958,0,2
421,0,3,1,21.0,0,0,7.7333,1,2
422,0,3,1,29.0,0,0,7.875,2,2
423,0,3,0,28.0,1,1,14.4,2,2
424,0,3,1,18.0,1,1,20.2125,2,2
425,0,3,1,29.69911764705882,0,0,7.25,2,2
426,1,2,0,28.0,1,0,26.0,2,2
427,1,2,0,19.0,0,0,26.0,2,2
428,0,3,1,29.69911764705882,0,0,7.75,1,2
429,1,3,1,32.0,0,0,8.05,2,4
430,1,1,1,28.0,0,0,26.55,2,2
431,1,3,0,29.69911764705882,1,0,16.1,2,2
432,1,2,0,42.0,1,0,26.0,2,2
433,0,3,1,17.0,0,0,7.125,2,2
434,0,1,1,50.0,1,0,55.9,2,4
435,1,1,0,14.0,1,2,120.0,2,1
436,0,3,0,21.0,2,2,34.375,2,2
437,1,2,0,24.0,2,3,18.75,2,2
438,0,1,1,64.0,1,4,263.0,2,2
439,0,2,1,31.0,0,0,10.5,2,2
440,1,2,0,45.0,1,1,26.25,2,2
441,0,3,1,20.0,0,0,9.5,2,2
442,0,3,1,25.0,1,0,7.775,2,2
443,1,2,0,28.0,0,0,13.0,2,2
444,1,3,1,29.69911764705882,0,0,8.1125,2,2
445,1,1,1,4.0,0,2,81.8583,2,0
446,1,2,0,13.0,0,1,19.5,2,2
447,1,1,1,34.0,0,0,26.55,2,2
448,1,3,0,5.0,2,1,19.2583,0,2
449,1,1,1,52.0,0,0,30.5,2,2
450,0,2,1,36.0,1,2,27.75,2,2
451,0,3,1,29.69911764705882,1,0,19.9667,2,2
452,0,1,1,30.0,0,0,27.75,0,2
453,1,1,1,49.0,1,0,89.1042,0,2
454,0,3,1,29.69911764705882,0,0,8.05,2,2
455,1,3,1,29.0,0,0,7.8958,0,2
456,0,1,1,65.0,0,0,26.55,2,4
457,1,1,0,29.69911764705882,1,0,51.8625,2,3
458,1,2,0,50.0,0,0,10.5,2,2
459,0,3,1,29.69911764705882,0,0,7.75,1,2
460,1,1,1,48.0,0,0,26.55,2,4
461,0,3,1,34.0,0,0,8.05,2,2
462,0,1,1,47.0,0,0,38.5,2,4
463,0,2,1,48.0,0,0,13.0,2,2
464,0,3,1,29.69911764705882,0,0,8.05,2,2
465,0,3,1,38.0,0,0,7.05,2,2
466,0,2,1,29.69911764705882,0,0,0.0,2,2
467,0,1,1,56.0,0,0,26.55,2,2
468,0,3,1,29.69911764705882,0,0,7.725,1,2
469,1,3,0,0.75,2,1,19.2583,0,2
470,0,3,1,29.69911764705882,0,0,7.25,2,2
471,0,3,1,38.0,0,0,8.6625,2,2
472,1,2,0,33.0,1,2,27.75,2,2
473,1,2,0,23.0,0,0,13.7917,0,3
474,0,3,0,22.0,0,0,9.8375,2,2
475,0,1,1,29.69911764705882,0,0,52.0,2,0
476,0,2,1,34.0,1,0,21.0,2,2
477,0,3,1,29.0,1,0,7.0458,2,2
478,0,3,1,22.0,0,0,7.5208,2,2
479,1,3,0,2.0,0,1,12.2875,2,2
480,0,3,1,9.0,5,2,46.9,2,2
481,0,2,1,29.69911764705882,0,0,0.0,2,2
482,0,3,1,50.0,0,0,8.05,2,2
483,1,3,0,63.0,0,0,9.5875,2,2
484,1,1,1,25.0,1,0,91.0792,0,1
485,0,3,0,29.69911764705882,3,1,25.4667,2,2
486,1,1,0,35.0,1,0,90.0,2,2
487,0,1,1,58.0,0,0,29.7,0,1
488,0,3,1,30.0,0,0,8.05,2,2
489,1,3,1,9.0,1,1,15.9,2,2
490,0,3,1,29.69911764705882,1,0,19.9667,2,2
491,0,3,1,21.0,0,0,7.25,2,2
492,0,1,1,55.0,0,0,30.5,2,2
493,0,1,1,71.0,0,0,49.5042,0,2
494,0,3,1,21.0,0,0,8.05,2,2
495,0,3,1,29.69911764705882,0,0,14.4583,0,2
496,1,1,0,54.0,1,0,78.2667,0,3
497,0,3,1,29.69911764705882,0,0,15.1,2,2
498,0,1,0,25.0,1,2,151.55,2,2
499,0,3,1,24.0,0,0,7.7958,2,2
500,0,3,1,17.0,0,0,8.6625,2,2
501,0,3,0,21.0,0,0,7.75,1,2
502,0,3,0,29.69911764705882,0,0,7.6292,1,2
503,0,3,0,37.0,0,0,9.5875,2,2
504,1,1,0,16.0,0,0,86.5,2,1
505,0,1,1,18.0,1,0,108.9,0,2
506,1,2,0,33.0,0,2,26.0,2,2
507,1,1,1,29.69911764705882,0,0,26.55,2,2
508,0,3,1,28.0,0,0,22.525,2,2
509,1,3,1,26.0,0,0,56.4958,2,2
510,1,3,1,29.0,0,0,7.75,1,2
511,0,3,1,29.69911764705882,0,0,8.05,2,2
512,1,1,1,36.0,0,0,26.2875,2,4
513,1,1,0,54.0,1,0,59.4,0,2
514,0,3,1,24.0,0,0,7.4958,2,2
515,0,1,1,47.0,0,0,34.0208,2,3
516,1,2,0,34.0,0,0,10.5,2,5
517,0,3,1,29.69911764705882,0,0,24.15,1,2
518,1,2,0,36.0,1,0,26.0,2,2
519,0,3,1,32.0,0,0,7.8958,2,2
520,1,1,0,30.0,0,0,93.5,2,1
521,0,3,1,22.0,0,0,7.8958,2,2
522,0,3,1,29.69911764705882,0,0,7.225,0,2
523,1,1,0,44.0,0,1,57.9792,0,1
524,0,3,1,29.69911764705882,0,0,7.2292,0,2
525,0,3,1,40.5,0,0,7.75,1,2
526,1,2,0,50.0,0,0,10.5,2,2
527,0,1,1,29.69911764705882,0,0,221.7792,2,2
528,0,3,1,39.0,0,0,7.925,2,2
529,0,2,1,23.0,2,1,11.5,2,2
530,1,2,0,2.0,1,1,26.0,2,2
531,0,3,1,29.69911764705882,0,0,7.2292,0,2
532,0,3,1,17.0,1,1,7.2292,0,2
533,1,3,0,29.69911764705882,0,2,22.3583,0,2
534,0,3,0,30.0,0,0,8.6625,2,2
535,1,2,0,7.0,0,2,26.25,2,2
536,0,1,1,45.0,0,0,26.55,2,1
537,1,1,0,30.0,0,0,106.425,0,2
538,0,3,1,29.69911764705882,0,0,14.5,2,2
539,1,1,0,22.0,0,2,49.5,0,1
540,1,1,0,36.0,0,2,71.0,2,1
541,0,3,0,9.0,4,2,31.275,2,2
542,0,3,0,11.0,4,2,31.275,2,2
543,1,2,1,32.0,1,0,26.0,2,2
544,0,1,1,50.0,1,0,106.425,0,2
545,0,1,1,64.0,0,0,26.0,2,2
546,1,2,0,19.0,1,0,26.0,2,2
547,1,2,1,29.69911764705882,0,0,13.8625,0,2
548,0,3,1,33.0,1,1,20.525,2,2
549,1,2,1,8.0,1,1,36.75,2,2
550,1,1,1,17.0,0,2,110.8833,0,2
551,0,2,1,27.0,0,0,26.0,2,2
552,0,3,1,29.69911764705882,0,0,7.8292,1,2
